"strain"	"virus"	"isolate_id"	"date"	"region"	"country"	"division"	"host"
"A/Cackling_Goose/BC/AIVPHL-2534/2024"	"avian_flu"	"EPI_ISL_19533316"	"2024-10-14"	"North America"	"Canada"	"British Columbia"	"Avian"
"A/Canada_Goose/BC/AIVPHL-2524/2024"	"avian_flu"	"EPI_ISL_19533306"	"2024-10-08"	"North America"	"Canada"	"British Columbia"	"Avian"
"A/Canada_Goose/BC/AIVPHL-2530/2024"	"avian_flu"	"EPI_ISL_19533309"	"2024-10-14"	"North America"	"Canada"	"British Columbia"	"Avian"
"A/Canada_Goose/BC/AIVPHL-2531/2024"	"avian_flu"	"EPI_ISL_19533310"	"2024-10-14"	"North America"	"Canada"	"British Columbia"	"Avian"
"A/Louisiana/12/2024"	"avian_flu"	"EPI_ISL_19634827"	"2024-12-11"	"North America"	"United States"	"Louisiana"	"Human"
"A/Red_Tailed_Hawk/BC/AIVPHL-2513/2024"	"avian_flu"	"EPI_ISL_19533305"	"2024-10-07"	"North America"	"Canada"	"British Columbia"	"Avian"
"A/Washington/239/2024"	"avian_flu"	"EPI_ISL_19512045"	"2024-10-18"	"North America"	"United States"	"Washington"	"Human"
"A/Washington/247/2024"	"avian_flu"	"EPI_ISL_19512047"	"2024-10-18"	"North America"	"United States"	"Washington"	"Human"
"A/Washington/251/2024"	"avian_flu"	"EPI_ISL_19531300"	"2024-10-24"	"North America"	"United States"	"Washington"	"Human"
"A/Washington/252/2024"	"avian_flu"	"EPI_ISL_19531301"	"2024-10-24"	"North America"	"United States"	"Washington"	"Human"
"A/Washington/253/2024"	"avian_flu"	"EPI_ISL_19531302"	"2024-10-24"	"North America"	"United States"	"Washington"	"Human"
"A/Washington/255/2024"	"avian_flu"	"EPI_ISL_19552697"	"2024-10-29"	"North America"	"United States"	"Washington"	"Human"
"A/Washington/UW32495/2024"	"avian_flu"	"EPI_ISL_19541397"	"2024-10-18"	"North America"	"United States"	"Washington"	"Human"
"A/chicken/Oregon/24-030904-001/2024"	"avian_flu"	"EPI_ISL_19578849"	"2024-10-21"	"North America"	"United States"	"Oregon"	"Chicken"
"A/chicken/Oregon/24-030904-002/2024"	"avian_flu"	"EPI_ISL_19578848"	"2024-10-21"	"North America"	"United States"	"Oregon"	"Chicken"
"A/chicken/Washington/24-030039-001/2024"	"avian_flu"	"EPI_ISL_19578847"	"2024-10-11"	"North America"	"United States"	"Washington"	"Chicken"
"A/chicken/Washington/24-030039-002/2024"	"avian_flu"	"EPI_ISL_19578846"	"2024-10-11"	"North America"	"United States"	"Washington"	"Chicken"
"A/chicken/Washington/24-031352-001/2024"	"avian_flu"	"EPI_ISL_19578845"	"2024-10-21"	"North America"	"United States"	"Washington"	"Chicken"
"A/chicken/Washington/24-031352-002/2024"	"avian_flu"	"EPI_ISL_19578844"	"2024-10-21"	"North America"	"United States"	"Washington"	"Chicken"
"A/chicken/Washington/24-031352-003/2024"	"avian_flu"	"EPI_ISL_19578851"	"2024-10-21"	"North America"	"United States"	"Washington"	"Chicken"
"A/chicken/Washington/W242850087-1/2024"	"avian_flu"	"EPI_ISL_19644306"	"2024-10-11"	"North America"	"United States"	"Washington"	"Chicken"
"A/chicken/Washington/W242850087-2/2024"	"avian_flu"	"EPI_ISL_19644307"	"2024-10-11"	"North America"	"United States"	"Washington"	"Chicken"
"A/guineafowl/Washington/24-030328-001/2024"	"avian_flu"	"EPI_ISL_19578843"	"2024-10-15"	"North America"	"United States"	"Washington"	"Avian"
"A/guineafowl/Washington/24-030328-002/2024"	"avian_flu"	"EPI_ISL_19578850"	"2024-10-15"	"North America"	"United States"	"Washington"	"Avian"
"A/Washington/254/2024-egg"	"avian_flu"	"EPI_ISL_19666173"	"2024-10-23"	"North America"	"United States"	"Washington"	"Human"
"A/chicken/Iwate/22A5T/2023"	"avian_flu"	"EPI_ISL_18284477"	"2023-03-14"	"Asia"	"Japan"	NA	"Chicken"
